===  Rect         Decl            NAME          J      dJ        H       dH      K       dK       status
  078.993433  -69.699867    0515584-694159   15.489   0.076   14.660   0.085   14.83   0.169           0
  078.976297  -69.781929    0515543-694654   15.376   0.105   14.731   0.087   14.60   0.119           0
  078.972090  -69.724648    0515533-694328   16.382   0.150   15.274   -9.99   15.31   0.217           0
  078.989393  -69.798340    0515574-694754   14.531   0.042   13.653   0.043   13.54   0.055           0
  078.976901  -69.784241    0515544-694703   15.795   0.086   15.266   0.127   15.12   0.188           0
  078.969396  -69.729095    0515526-694344   16.012   0.106   15.538   0.174   15.08   0.190           0
  078.981069  -69.710114    0515554-694236   15.810   0.105   15.252   0.124   14.94   0.195           0
  078.973353  -69.780495    0515536-694649   14.340   0.047   13.421   0.041   13.28   0.047           0
  078.986601  -69.703690    0515567-694213   15.844   0.099   15.198   0.151   14.72   -9.99           0
  078.990899  -69.801506    0515578-694805   16.283   0.146   15.378   0.147   15.23   -9.99           0
  078.976821  -69.714096    0515544-694250   16.013   0.103   15.192   0.137   15.04   0.155           0
  078.966568  -69.769844    0515519-694611   16.426   0.143   16.022   -9.99   16.22   -9.99           0
  078.971599  -69.719971    0515531-694311   15.803   0.085   15.154   0.107   15.20   0.190           0
  078.961953  -69.748985    0515508-694456   14.703   0.051   13.769   0.044   13.85   0.076           0
  078.961875  -69.752808    0515508-694510   15.133   0.058   14.248   0.059   14.32   0.104           0
  078.991377  -69.803879    0515579-694813   15.657   0.101   14.957   0.098   14.93   0.167           0
  078.975281  -69.789108    0515540-694720   16.525   0.146   15.500   -9.99   16.48   -9.99           0
  078.990267  -69.696472    0515576-694147   13.432   0.033   12.548   0.029   12.43   0.035           0
  078.982493  -69.703629    0515557-694213   14.535   0.050   13.640   0.043   13.48   0.063           0
  078.959466  -69.756393    0515502-694523   15.780   0.100   14.873   -9.99   14.86   -9.99           0
  078.969527  -69.782722    0515526-694657   13.755   0.043   12.901   0.037   12.56   0.043           0
  078.960793  -69.765152    0515505-694554   15.818   0.093   15.172   0.119   14.89   0.158           0
  078.997497  -69.811172    0515593-694840   15.178   0.079   14.571   0.535   14.24   0.164           0
  078.985991  -69.698364    0515566-694154   15.280   0.064   14.469   0.069   14.41   0.090           0
  078.997267  -69.812462    0515593-694844   14.972   0.064   14.196   0.189   13.91   0.083           0
  078.974155  -69.792297    0515537-694732   16.335   0.141   15.600   0.167   16.51   -9.99           0
  078.960311  -69.730087    0515504-694348   13.625   0.037   12.621   0.031   12.39   0.037           0
  078.956221  -69.746201    0515494-694446   15.496   0.073   14.871   0.092   14.76   0.123           0
  078.992059  -69.809494    0515580-694834   15.818   0.123   15.128   0.137   15.03   0.164           0
  078.959678  -69.728943    0515503-694344   15.290   0.082   15.000   0.278   14.19   0.101           0
  078.968206  -69.786942    0515523-694712   11.086   0.032   10.124   0.029    9.73   0.030           0
  078.964390  -69.719254    0515514-694309   16.079   0.116   15.096   -9.99   14.64   -9.99           0
